,曲名,演唱,
1,家後,江蕙,https://www.youtube.com/watch?v=aDKZkQeTPKA&list=RDaDKZkQeTPKA&index=1
2,征服,那英,https://www.youtube.com/watch?v=HJ8BOEr4Ggs
3,心動,林曉培,https://www.youtube.com/watch?v=nWmwASpn1XQ
4,約定,周蕙,https://www.youtube.com/watch?v=d7sa_c2CgUY
5,活該,信樂團,https://www.youtube.com/watch?v=VRTkoleU3HE
6,葉子,阿桑,https://www.youtube.com/watch?v=BvYfoz8zR2s
7,童話,光良,https://www.youtube.com/watch?v=TdWer30guIs
8,約定,光良,https://www.youtube.com/watch?v=tvOg47wf0GQ
9,後來,劉若英,https://www.youtube.com/watch?v=t0igPuDjYUE
10,聽海,張惠妹,https://www.youtube.com/watch?v=mLk61pfiHQ0
11,十年,陳奕迅,https://www.youtube.com/watch?v=ZtMRwA2hgoA
12,曖昧,楊丞琳,https://www.youtube.com/watch?v=VGdtBw9Gp3o
13,江南,林俊傑,https://www.youtube.com/watch?v=G97_rOdHcnY
14,遇見,孫燕姿,https://www.youtube.com/watch?v=5uDUn5zW8Co
15,同類,孫燕姿,https://www.youtube.com/watch?v=xv56w77SPDs
16,唯一,王力宏,https://www.youtube.com/watch?v=P7Qv4AV_StM
17,勇敢,張惠妹,https://www.youtube.com/watch?v=wvY2KcRbFYU
18,剪愛,張惠妹,https://www.youtube.com/watch?v=m_XB3n4ncWc
19,當你,王心凌,https://www.youtube.com/watch?v=ryIam6lpV10
20,月光,王心凌,https://www.youtube.com/watch?v=mqJS7TZ9-r8
21,候鳥,S.H.E,https://www.youtube.com/watch?v=UxZjUfoKAj0
22,天灰,S.H.E,https://www.youtube.com/watch?v=tTzOdrYeizk
23,安靜,周杰倫,https://www.youtube.com/watch?v=QwUH0xyEcKc
24,擱淺,周杰倫,https://www.youtube.com/watch?v=eUM_IeoKPZc
25,鋼琴,范逸臣,https://www.youtube.com/watch?v=mMC6-iR74sM
26,星晴,周杰倫,https://www.youtube.com/watch?v=6adVpZuqwZc
27,軌跡,周杰倫,https://www.youtube.com/watch?v=swUtKvvjJt4
28,天空,蔡依林,https://www.youtube.com/watch?v=sEREA8MnUV8
29,倒帶,蔡依林,https://www.youtube.com/watch?v=1Si6L6IGYS0
30,知足,阿信,https://www.youtube.com/watch?v=2hmVsxaGHoQ
31,寧夏,梁靜茹,https://www.youtube.com/watch?v=Sy_aivimJy0
32,小薇,黃品源,https://www.youtube.com/watch?v=B4M27eV2dkw
33,紀念,蔡健雅,https://www.youtube.com/watch?v=UFPuBQvT69I
34,假如,信樂團,https://www.youtube.com/watch?v=YH4mlRe6O64
35,夢一場,那英,https://www.youtube.com/watch?v=el75kKZKsxs
36,上弦月,許志安,https://www.youtube.com/watch?v=99m1-u9wf4M
37,我願意,王菲,https://www.youtube.com/watch?v=m3gsyjVZ5Qo
38,如果愛,張學友,https://www.youtube.com/watch?v=37IS5DoSiGI
39,天黑黑,孫燕姿,https://www.youtube.com/watch?v=XguA4aMYj7k
40,我的愛,孫燕姿,https://www.youtube.com/watch?v=X9jcGsPYqj0
41,菊花台,周杰倫,https://www.youtube.com/watch?v=BU8r0aktCss
42,珊瑚海,周杰倫/LARA,https://www.youtube.com/watch?v=8Q9SVzhwjus
43,髮如雪,周杰倫,https://www.youtube.com/watch?v=aaM7qG2ycjk
44,七里香,周杰倫,https://www.youtube.com/watch?v=7CKOG-qQKJY
45,流星雨,F4,https://www.youtube.com/watch?v=ocTdA8NytIc
46,就是愛,蔡依林,https://www.youtube.com/watch?v=nwcHdFQ-fq8
47,聽不到,梁靜茹,https://www.youtube.com/watch?v=tRjxa1LuPx0
48,情非得已,瘐澄慶,https://www.youtube.com/watch?v=arnNxiCLyL4
49,新不了情,萬芳,https://www.youtube.com/watch?v=Dw-R85AcN_w
50,理想情人,楊丞琳,https://www.youtube.com/watch?v=2O2bBhjudXw
51,痴心絕對,李聖傑,https://www.youtube.com/watch?v=jkrkknPGy3U
52,大城小愛,王力宏,https://www.youtube.com/watch?v=slQ08EMQ-pE
53,眼淚成詩,孫燕姿,https://www.youtube.com/watch?v=-D5KXRrD1Eo
54,花的嫁紗,王心凌,https://www.youtube.com/watch?v=M_PepV5PzPk
55,千年之戀,F.I.R.,https://www.youtube.com/watch?v=5fTrPL5b4Lg
56,我們的愛,F.I.R.,https://www.youtube.com/watch?v=88D2-J_pk7A
57,一了百了,信樂團,https://www.youtube.com/watch?v=kHg9waq3APA
58,戀人未滿,S.H.E,https://www.youtube.com/watch?v=jL6D7rqk4SQ
59,愛很簡單,陶喆,https://www.youtube.com/watch?v=lhtaCBSL9AE
60,黑色幽默,周杰倫,https://www.youtube.com/watch?v=wRT-5heURhY
61,分手快樂,梁靜茹,https://www.youtube.com/watch?v=lBNYpPmjH8M
62,除此之外,范逸臣,https://www.youtube.com/watch?v=81uq9HO9H50
63,千里之外,周杰倫,https://www.youtube.com/watch?v=ocDo3ySyHSI
64,我只在乎你,鄧麗君,https://www.youtube.com/watch?v=LE6vRCpcbb8
65,城裡的月光,許美靜,https://www.youtube.com/watch?v=zAfmXlv9ff4
66,孤單北半球,林依晨,https://www.youtube.com/watch?v=_C-MwjH6laM
67,如果雲知道,許茹芸,https://www.youtube.com/watch?v=FRbaawcE3MI
68,老鼠愛大米,王啟文,https://www.youtube.com/watch?v=19yjk5xVDC4
69,愛一直閃亮,羅美玲,https://www.youtube.com/watch?v=2ecXok7y4rU
70,至少還有你,林憶蓮,https://www.youtube.com/watch?v=pQlAWZLOpgo
71,隱形的翅膀,張紹涵,https://www.youtube.com/watch?v=be2wvNFTLMc
72,遺失的美好,張紹涵,https://www.youtube.com/watch?v=sh4BwEDtRI0
73,一千年以後,林俊傑,https://www.youtube.com/watch?v=m0z1XfphYzU
74,給我你的愛,TANK,https://www.youtube.com/watch?v=9CInTGdSTf0
75,那年的情書,江美琪,https://www.youtube.com/watch?v=kipCne0kYkc
76,我會好好的,王心凌,https://www.youtube.com/watch?v=WLm_cV8xKSE
77,花都開好了,SHE,https://www.youtube.com/watch?v=WFem-SqSTss
78,愛我還是他,陶喆,https://www.youtube.com/watch?v=7HaXgRBvaXk
79,如果有一天,梁靜茹,https://www.youtube.com/watch?v=K3o6SfwZq_w
80,很愛很愛你,劉若英,https://www.youtube.com/watch?v=3znMCsScCxo
81,從開始到現在,張信哲,https://www.youtube.com/watch?v=Ab7V1YwSFMI
82,我多麼羨慕你,江美琪,https://www.youtube.com/watch?v=57boyq7doDE
83,一首簡單的歌,王力宏,https://www.youtube.com/watch?v=PihQffGOL54
84,別在傷口灑鹽,張惠妹,https://www.youtube.com/watch?v=eJAqnYeITm4
85,檸檬草的味道,蔡依林,https://www.youtube.com/watch?v=foxsrMe50mY
86,威尼斯的淚,永邦,https://www.youtube.com/watch?v=BNpuuiLc7wI
87,他一定很愛你,阿杜,https://www.youtube.com/watch?v=O5zouptvi9g
88,莫斯科沒有眼淚,Twins,https://www.youtube.com/watch?v=yAvCkY6qins
89,我知道你很難過,蔡依林,https://www.youtube.com/watch?v=rBuInh1_n-w
90,忠孝東路走九遍,動力火車,https://www.youtube.com/watch?v=hFJAzTqYFHc
91,月亮代表我的心,鄧麗君,https://www.youtube.com/watch?v=51xS4yXbryc
92,原來你什麼都不想要,張惠妹,https://www.youtube.com/watch?v=rT4FqOwn-rs
93,當你孤單你會想起誰,張棟樑,https://www.youtube.com/watch?v=5LhKG8ucAF8
94,男人不該讓女人流淚,蘇永康,https://www.youtube.com/watch?v=-6BOwdaDgVU
95,I Believe,范逸臣,https://www.youtube.com/watch?v=dI5zpKaNR84
96,Lydia,F.I.R.,https://www.youtube.com/watch?v=ZOHsd6Zk7DM
97,Only one,順子,https://www.youtube.com/watch?v=g5lQAEW6avk
98,Forever Love,王力宏,https://www.youtube.com/watch?v=ULcmgv837MQ
99,KISS GOODBYE,王力宏,https://www.youtube.com/watch?v=mZwkkuU-Hg4
100,May I Love You,張智成,https://www.youtube.com/watch?v=n1oB9OBxTTw
101,Through The Arbor-Kevin,Kevin Kern(演奏),https://www.youtube.com/watch?v=spaMy5VONvw
